group,type,condition,item,text,image
1,Critical,super,dog,This is an animal. It belongs to my grandma.,dog.jpg
2,Critical,basic,dog,This is a dog. It belongs to my grandma.,dog.jpg
2,Critical,super,guitar,This is an instrument. My brother got it for his birthday.,guitar.jpg
1,Critical,basic,guitar,This is a guitar. My brother got it for his birthday.,guitar.jpg
1,Critical,super,pepper,This is a vegetable. My mom picked it from the garden.,pepper.jpg
2,Critical,basic,pepper,This is a pepper. My mom picked it from the garden.,pepper.jpg
2,Critical,super,car,This is a vehicle. My dad had it since he was young.,car.jpg
1,Critical,basic,car,This is a car. My dad had it since he was young.,car.jpg
1,Critical,super,apple,This is a fruit. My sister packed it for her school trip yesterday.,apple.jpg
2,Critical,basic,apple,This is an apple. My sister packed it for her school trip yesterday.,apple.jpg
2,Critical,super,pasta,This is a plate of food. My mom made this last night.,pasta.jpg
1,Critical,basic,pasta,This is a plate of pasta. My mom made this last night.,pasta.jpg
1,Critical,super,butterfly,This is an insect. It flew away after I took this picture.,butterfly.jpg
2,Critical,basic,butterfly,This is a butterfly. It flew away after I took this picture.,butterfly.jpg
2,Critical,super,hammer,This is a tool. My dad used it to fix the roof last week.,hammer.jpg
1,Critical,basic,hammer,This is a hammer. My dad used it to fix the roof last week.,hammer.jpg
1,Filler-bad,fiiler,computer,This is a computer. It was in my grandfather's basement.,computer.jpg
1,Filler-bad,fiiler,videogame,This is a video game. My uncle has it in his living room.,videogame.jpg
1,Filler-bad,fiiler,candystick,This is a candy stick. My mom keeps it in her purse.,candystick.jpg
1,Filler-bad,fiiler,violin,This is a violin. Someone was playing it on the streets.,violin.jpg
1,Filler-bad,fiiler,handsanitizer,This is a hand sanitizer bottle. It's heavy and made of glass.,handsanitizer.jpg
1,Filler-bad,fiiler,yellowrose,This is a yellow rose. I found it on a sidewalk.,yellowrose.jpg
1,Filler-bad,fiiler,stapler,This is a stapler. My aunt keeps it in her closet.,stapler.jpg
1,Filler-bad,fiiler,swing,This is a swing. It was at my neighbor's garage sale.,rockingchair.jpg
1,Filler-good,fiiler,statue,This is the Statue of Liberty that I saw while visiting New York with my family.,statue.jpg
1,Filler-good,fiiler,soccerfield,This is the soccer field that my little league team plays on.,soccerfield.jpg
1,Filler-good,fiiler,badge,This is the most recent scout badge that I got.,badge.jpg
1,Filler-good,fiiler,mug,This is a mug that I made at a clay workshop.,mug.jpg
1,Filler-good,fiiler,painting,This is a painting that my mom recently bought.,painting.jpg
1,Filler-good,fiiler,pizza,This is my favorite pizza at the restaurant next to my house.,pizza.jpg
1,Filler-good,fiiler,kite,This is a kite festival that I went to on the first week of summer break.,kite.jpg
1,Filler-good,fiiler,eggtart,This is an egg tart that I made with my mom.,eggtart.jpg
2,Filler-bad,fiiler,computer,This is a computer. It was in my grandfather's basement.,computer.jpg
2,Filler-bad,fiiler,videogame,This is a video game. My uncle has it in his living room.,videogame.jpg
2,Filler-bad,fiiler,candystick,This is a candy stick. My mom keeps it in her purse.,candystick.jpg
2,Filler-bad,fiiler,violin,This is a violin. Someone was playing it on the streets.,violin.jpg
2,Filler-bad,fiiler,handsanitizer,This is a hand sanitizer bottle. It's heavy and made of glass.,handsanitizer.jpg
2,Filler-bad,fiiler,yellowrose,This is a yellow rose. I found it on a sidewalk.,yellowrose.jpg
2,Filler-bad,fiiler,stapler,This is a stapler. My aunt keeps it in her closet.,stapler.jpg
2,Filler-bad,fiiler,swing,This is a swing. It was at my neighbor's garage sale.,rockingchair.jpg
2,Filler-good,fiiler,statue,This is the Statue of Liberty that I saw while visiting New York with my family.,statue.jpg
2,Filler-good,fiiler,soccerfield,This is the soccer field that my little league team plays on.,soccerfield.jpg
2,Filler-good,fiiler,badge,This is the most recent scout badge that I got.,badge.jpg
2,Filler-good,fiiler,mug,This is a mug that I made at a clay workshop.,mug.jpg
2,Filler-good,fiiler,painting,This is a painting that my mom recently bought.,painting.jpg
2,Filler-good,fiiler,pizza,This is my favorite pizza at the restaurant next to my house.,pizza.jpg
2,Filler-good,fiiler,kite,This is a kite festival that I went to on the first week of summer break.,kite.jpg
2,Filler-good,fiiler,eggtart,This is an egg tart that I made with my mom.,eggtart.jpg
